"date","txCount","fileIndex","MonthYear","Year"
"2017-09-24",5,1,"2017-09","2017"
"2017-09-25",8,1,"2017-09","2017"
"2017-09-26",1,1,"2017-09","2017"
"2017-09-27",6,1,"2017-09","2017"
"2017-09-28",36,1,"2017-09","2017"
"2017-09-29",2487,1,"2017-09","2017"
"2017-09-30",2528,1,"2017-09","2017"
"2017-10-01",3096,1,"2017-10","2017"
"2017-10-02",2943,1,"2017-10","2017"
"2017-10-03",1808,1,"2017-10","2017"
"2017-10-04",859,1,"2017-10","2017"
"2017-10-05",1193,1,"2017-10","2017"
"2017-10-06",889,1,"2017-10","2017"
"2017-10-07",671,1,"2017-10","2017"
"2017-10-08",679,1,"2017-10","2017"
"2017-10-09",680,1,"2017-10","2017"
"2017-10-10",660,1,"2017-10","2017"
"2017-10-11",557,1,"2017-10","2017"
"2017-10-12",672,1,"2017-10","2017"
"2017-10-13",782,1,"2017-10","2017"
"2017-10-14",930,1,"2017-10","2017"
"2017-10-15",726,1,"2017-10","2017"
"2017-10-16",626,1,"2017-10","2017"
"2017-10-17",669,1,"2017-10","2017"
"2017-10-18",502,1,"2017-10","2017"
"2017-10-19",536,1,"2017-10","2017"
"2017-10-20",705,1,"2017-10","2017"
"2017-10-21",578,1,"2017-10","2017"
"2017-10-22",517,1,"2017-10","2017"
"2017-10-23",298,1,"2017-10","2017"
"2017-10-24",714,1,"2017-10","2017"
"2017-10-25",445,1,"2017-10","2017"
"2017-10-26",429,1,"2017-10","2017"
"2017-10-27",450,1,"2017-10","2017"
"2017-10-28",372,1,"2017-10","2017"
"2017-10-29",411,1,"2017-10","2017"
"2017-10-30",576,1,"2017-10","2017"
"2017-10-31",626,1,"2017-10","2017"
"2017-11-01",574,1,"2017-11","2017"
"2017-11-02",458,1,"2017-11","2017"
"2017-11-03",377,1,"2017-11","2017"
"2017-11-04",355,1,"2017-11","2017"
"2017-11-05",379,1,"2017-11","2017"
"2017-11-06",472,1,"2017-11","2017"
"2017-11-07",402,1,"2017-11","2017"
"2017-11-08",356,1,"2017-11","2017"
"2017-11-09",588,1,"2017-11","2017"
"2017-11-10",547,1,"2017-11","2017"
"2017-11-11",334,1,"2017-11","2017"
"2017-11-12",394,1,"2017-11","2017"
"2017-11-13",383,1,"2017-11","2017"
"2017-11-14",448,1,"2017-11","2017"
"2017-11-15",442,1,"2017-11","2017"
"2017-11-16",443,1,"2017-11","2017"
"2017-11-17",370,1,"2017-11","2017"
"2017-11-18",448,1,"2017-11","2017"
"2017-11-19",443,1,"2017-11","2017"
"2017-11-20",678,1,"2017-11","2017"
"2017-11-21",542,1,"2017-11","2017"
"2017-11-22",470,1,"2017-11","2017"
"2017-11-23",485,1,"2017-11","2017"
"2017-11-24",468,1,"2017-11","2017"
"2017-11-25",492,1,"2017-11","2017"
"2017-11-26",774,1,"2017-11","2017"
"2017-11-27",1214,1,"2017-11","2017"
"2017-11-28",2214,1,"2017-11","2017"
"2017-11-29",1274,1,"2017-11","2017"
"2017-11-30",3217,1,"2017-11","2017"
"2017-12-01",3075,1,"2017-12","2017"
"2017-12-02",2269,1,"2017-12","2017"
"2017-12-03",1972,1,"2017-12","2017"
"2017-12-04",2768,1,"2017-12","2017"
"2017-12-05",3144,1,"2017-12","2017"
"2017-12-06",3243,1,"2017-12","2017"
"2017-12-07",3080,1,"2017-12","2017"
"2017-12-08",2981,1,"2017-12","2017"
"2017-12-09",2307,1,"2017-12","2017"
"2017-12-10",1925,1,"2017-12","2017"
"2017-12-11",2903,1,"2017-12","2017"
"2017-12-12",3453,1,"2017-12","2017"
"2017-12-13",3330,1,"2017-12","2017"
"2017-12-14",5011,1,"2017-12","2017"
"2017-12-15",5428,1,"2017-12","2017"
"2017-12-16",7126,1,"2017-12","2017"
"2017-12-17",7332,1,"2017-12","2017"
"2017-12-18",7110,1,"2017-12","2017"
"2017-12-19",10754,1,"2017-12","2017"
"2017-12-20",8367,1,"2017-12","2017"
"2017-12-21",7759,1,"2017-12","2017"
"2017-12-22",6840,1,"2017-12","2017"
