date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-10-11,,1477,,,,1310,,
2017-10-12,,110,,,,104,,
2017-10-13,,198,,,,173,,
2017-10-14,,143,,,,128,,
2017-10-15,,57,,,,53,,
2017-10-16,,74,,,,75,,
2017-10-17,,51,,,,55,,
2017-10-18,480298.698047,60,0.0,0.616026,20958.0,55,1104.54426907,
2017-10-19,1229370.83422,302,0.0,0.624114,173574.0,281,925.730718341,
2017-10-20,1937980.55865,177,0.0,0.772789,80848.0,160,1264.8585318,
2017-10-21,922047.552136,117,0.0,0.586844,26035.0,99,582.129685074,
2017-10-22,1320448.65276,138,0.0,0.569138,166006.0,112,990.23466913,
2017-10-23,1222398.42878,131,0.0,0.590999,86389.0,114,1173.13498499,
2017-10-24,1376143.26186,113,0.0,1.05,62509.0,105,937.4085,
2017-10-25,779416.557252,110,0.0,0.606913,76102.0,92,910.3695,
2017-10-26,2927980.72435,190,0.0,0.596679,265716.0,138,1014.10667821,
2017-10-27,1304909.29652,137,0.0,0.660666,255065.0,105,767.8590585,
2017-10-28,217571.51288,117,0.0,0.552586,71166.0,91,551.969240652,
2017-10-29,163904.462876,75,0.0,0.565539,40317.0,58,757.34155185,
2017-10-30,1075966.36063,95,0.0,0.61386,79874.0,90,767.325,
2017-10-31,1121276.03192,326,0.0,0.607345,173262.0,302,60.7345,
2017-11-01,413626.862525,54,0.0,0.509853,10755.0,42,617.6869095,
2017-11-02,126372.341291,48,0.0,0.498665,42525.0,42,663.240905945,
2017-11-03,503676.976302,76,0.0,0.563104,44646.0,62,865.799615574,
2017-11-04,79948.058411,45,0.0,0.594119,15315.0,42,450.124540385,
2017-11-05,955762.335738,78,0.0,0.575603,45060.0,70,522.011640728,
2017-11-06,408126.44288,181,0.0,0.6055,31526.0,180,60.55,
2017-11-07,190130.233399,86,0.0,0.579105,142634.0,76,689.340531412,
2017-11-08,339635.182521,96,0.0,0.628315,92374.0,70,451.30107168,
2017-11-09,980730.988715,123,0.0,0.734635,46635.0,100,440.781,
2017-11-10,178215.498878,100,0.0,0.761601,52205.0,80,654.523563158,
2017-11-11,140795.589478,66,0.0,0.702115,55593.0,66,489.969784687,
2017-11-12,1063580.70558,65,0.0,0.675108,261653.0,55,421.9425,
2017-11-13,294667.995005,72,0.0,0.703398,65938.0,59,454.52203753,
2017-11-14,291668.203527,78,0.0,0.768927,75478.0,64,670.8888075,
2017-11-15,242828.848942,113,0.0,0.819576,94208.0,80,635.1714,
2017-11-16,340880.383451,74,0.0,0.825046,67004.0,61,668.28726,
2017-11-17,245623.632857,60,0.0,0.749875,50093.0,53,865.081518695,
2017-11-18,389814.214756,63,0.0,0.796358,75408.0,47,670.189211218,
2017-11-19,90206.6375946,104,0.0,0.811147,20096.0,71,292.01292,
2017-11-20,24821033.5918,64,0.0,0.867591,23302.0,54,364.38822,
2017-11-21,189942.575052,49,0.0,0.891049,32733.0,47,1159.24851166,
2017-11-22,318119.459918,64,0.0,0.86119,74347.0,51,415.09358,
2017-11-23,425935.401015,61,0.0,0.799937,131685.0,49,847.93322,
2017-11-24,714658.358998,196,0.0,0.815494,354338.0,145,815.494,
2017-11-25,2485866.26974,233,0.0,1.49,358097.0,169,894.0,
2017-11-26,322331.195959,140,0.0,1.16,152946.0,98,874.06,
2017-11-27,2306030.69079,205,0.0,1.16,478944.0,151,1372.28,
2017-11-28,3850937.59496,836,0.0,1.21,2219830.0,552,544.49997096,
2017-11-29,2389540.74888,768,0.0,1.89,799269.0,527,567.0,
2017-11-30,1352629.72533,328,0.0,1.73,224195.0,238,774.986228944,
2017-12-01,9640926.00684,307,0.0,1.71,953008.0,234,586.272818548,
2017-12-02,3364513.59244,283,0.0,1.55,456170.0,196,620.0,
2017-12-03,728954.959592,320,0.0,1.51,170430.0,229,453.0,
2017-12-04,4662570.28762,181,0.0,1.49,85215.0,147,894.0,
2017-12-05,521925832.93,316,0.0,1.54,307559.0,215,827.90092,
2017-12-06,10089707.4281,352,0.0,1.58,497558.0,245,1226.72106375,
2017-12-07,9263708.05979,674,0.0,2.24,463551.0,444,1097.824,
2017-12-08,13201909.3998,653,90208432.0,2.2,460544.0,419,901.208217778,
2017-12-09,126124.371638,65,95338312.0,2.32,54054.0,65,505.76,
2017-12-10,788334.532299,95,99330160.0,2.42,72057.0,96,457.914235134,
2017-12-11,149767.136034,79,91896384.0,2.24,118258.0,73,459.2,
2017-12-12,159345.753674,159,124073456.0,3.02,254581.0,140,449.35184,
2017-12-13,2741605.18394,262,185105552.0,4.51,277482.0,213,636.287877566,
2017-12-14,1913096390.63,2798,213785008.0,5.21,947561.0,2563,6903.27212281,
2017-12-15,307558679.27,871,107640416.0,2.03,2868550.0,752,681.143430694,
2017-12-16,6076615.02889,485,132377104.0,2.5,1085950.0,443,650.0,
