date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-10-12,,6830,,,,6116,,
2017-10-13,26778236.941,3485,0.0,0.613334,4043320.0,3815,1502.46589978,
2017-10-14,4376052.67679,1158,0.0,0.632935,1866780.0,1160,1021.9402891,
2017-10-15,5386225.33118,618,51113868.0,0.68301,1433930.0,681,683.01,
2017-10-16,3998193.57036,562,48000552.0,0.641408,1919030.0,541,1023.35662673,
2017-10-17,1644608.98013,459,44932484.0,0.600411,1389300.0,471,720.4932,
2017-10-18,1578786.088,375,38567496.0,0.515359,1129090.0,369,1030.718,
2017-10-19,927795.030082,322,37048012.0,0.495055,879049.0,293,750.008325,
2017-10-20,622965.614554,292,36985300.0,0.494217,1160220.0,314,937.035432,
2017-10-21,783680.54601,167,35170288.0,0.469964,558247.0,174,690.7530872,
2017-10-22,527013.280092,195,31819948.0,0.425195,605007.0,235,624.951611,
2017-10-23,369998.721322,168,30456454.0,0.406975,447621.0,194,737.0870736,
2017-10-24,317596.921196,198,28711778.0,0.383662,793814.0,206,639.43986385,
2017-10-25,641891.467857,317,31607096.0,0.422351,1262400.0,332,844.702,
2017-10-26,231369.792579,182,34046960.0,0.454953,622219.0,205,408.547794,
2017-10-27,765829.012697,161,34583892.0,0.462128,413008.0,187,791.4404128,
2017-10-28,198121.351144,113,31914234.0,0.426455,405700.0,127,509.103258365,
2017-10-29,1056401.39124,129,30438392.0,0.406734,495022.0,144,488.0808,
2017-10-30,295663.219661,151,29991710.0,0.400765,457524.0,171,523.559396,
2017-10-31,305929.704213,121,29095756.0,0.388793,461916.0,155,544.3102,
2017-11-01,1632197.09461,241,28568478.0,0.381747,518933.0,264,2152.5186342,
2017-11-02,811752.607752,196,26608588.0,0.355558,567884.0,214,522.01781107,
2017-11-03,206290.219038,121,26637918.0,0.35595,500177.0,145,462.735,
2017-11-04,136348.346839,63,27676360.0,0.369826,350618.0,73,766.620821398,
2017-11-05,175651.593765,126,29799320.0,0.398194,420329.0,141,483.71412538,
2017-11-06,128863.086946,103,27547462.0,0.368104,550690.0,121,533.7508,
2017-11-07,209481.240623,144,27672768.0,0.369778,671402.0,168,357.975240907,
2017-11-08,132694.460396,139,29184078.0,0.389973,834389.0,154,389.463695262,
2017-11-09,472890.179757,179,33046296.0,0.441582,1203220.0,183,628.624212486,
2017-11-10,427702.462458,144,38265508.0,0.511324,1027690.0,166,613.878201755,
2017-11-11,212807.552906,76,32445478.0,0.433553,705945.0,104,416.34961696,
2017-11-12,157214.408079,99,31364598.0,0.41911,784228.0,101,761.512005986,
2017-11-13,295930.040578,123,29132570.0,0.389285,895470.0,147,389.285,
2017-11-14,330189.679341,114,31143754.0,0.416159,838668.0,128,499.3908,
2017-11-15,289172.123931,105,31596188.0,0.422205,817698.0,117,607.06745925,
2017-11-16,132657.442941,105,28531228.0,0.381249,1041760.0,127,280.218015,
2017-11-17,197891.514955,138,28999074.0,0.387501,1025230.0,133,383.238489,
2017-11-18,133323.415108,101,29612974.0,0.395704,862576.0,125,633.267222977,
2017-11-19,225631.557406,128,30064180.0,0.401733,929114.0,150,463.182826502,
2017-11-20,493299.030013,110,29346300.0,0.392141,938760.0,123,564.308864228,
2017-11-21,441895.528429,93,29112170.0,0.389012,1071540.0,129,601.976230388,
2017-11-22,1735024.3739,573,32944510.0,0.440222,4851130.0,677,880.444,
2017-11-23,1673738.07344,205,43385788.0,0.579744,1625850.0,260,1090.498464,
2017-11-24,258192.520037,122,39638668.0,0.529673,1381400.0,146,759.849687656,
2017-11-25,367025.76043,131,38974184.0,0.520793,995884.0,141,700.285349036,
2017-11-26,544950.696283,164,36661280.0,0.489887,994404.0,181,695.53103654,
2017-11-27,594307.10007,111,35639768.0,0.476237,849689.0,131,682.747918379,
2017-11-28,302601.886204,164,36289948.0,0.484925,741542.0,195,480.044229875,
2017-11-29,848455.735789,160,34961672.0,0.467176,1029850.0,187,933.417648,
2017-11-30,24576438.6777,3897,47250800.0,0.63139,28777400.0,2480,1578.475,
2017-12-01,1897495.44506,535,53102908.0,0.709589,6898250.0,407,1559.676622,
