date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2015-07-30,,,,,,39311.09375,,,,,1.21335493201e+11,,4449897,6911,
2015-07-31,,,,,,36191.71875,,,,,6.02941851594e+11,,3994458,6863,
2015-08-01,,,,,,27702.1875,,,,,8.87254173531e+11,,3044344,5293,
2015-08-02,,,,,,28227.1875,,,,,1.02025370755e+12,,3112348,5358,
2015-08-03,,,,,,27976.71875,,,,,1.12583735885e+12,,3099953,5280,
2015-08-04,,,,,,28478.4375,,,,,1.21658734457e+12,,3150854,5368,
2015-08-05,,,,,,27528.59375,,,,,1.32783785749e+12,,3030780,5235,
2015-08-06,,,,,,27075.46875,,,,,1.38084636225e+12,,2986060,5116,
2015-08-07,,2050,,,,27437.65625,37.3184135113,1086,,0.00132077886624,1.47083865066e+12,1977,3282693,5189,
2015-08-08,,2881,,,,27943.4375,68.0999700719,826,,0.00124319442967,1.58612352894e+12,1973,3508878,5256,
2015-08-09,,1329,,,,27178.28125,14.0989497032,732,,0.00122301053332,1.70947978748e+12,1213,3167541,5123,
2015-08-10,,2037,,,,27817.34375,31.1651444384,1001,,0.00122826248427,1.83769576327e+12,1451,3316883,5255,
2015-08-11,,4963,,,,28027.8125,11.311448586,2342,,0.00121796486677,2.0363907975e+12,3029,3653834,5280,
2015-08-12,,2036,,,,27370.9375,32.5869924044,906,,0.00124406951189,2.20707974229e+12,1479,3348157,5124,
2015-08-13,,2842,,,,28268.125,24.9291691099,1274,,0.00121009572004,2.33697970806e+12,2486,3519008,5286,
2015-08-14,,3174,,,,31106.71875,14.3548341128,1594,,0.00121011072806,2.67125315047e+12,3015,3832496,5809,
2015-08-15,,2284,,,,28512.65625,8.83659302805,1313,,0.00120976066167,3.37802842587e+12,2170,3435520,5382,
2015-08-16,,2440,,,,27094.53125,6.67723792491,1202,,0.00120780126594,3.63163214444e+12,2340,3287835,5132,
2015-08-17,,2512,,,,28118.90625,7.64281183963,1249,,0.00121022797205,3.90802403525e+12,2410,3393782,5347,
2015-08-18,,2494,,,,26162.8125,11.9060713402,1294,,0.00120569277268,4.37769472537e+12,2324,3208720,4948,
2015-08-19,,3246,,,,27282.03125,15.4309506695,1350,,0.00121403885822,4.41957302182e+12,3147,3392043,5192,
2015-08-20,,2303,,,,21057.03125,6.85556694271,1167,,0.00118448776127,4.46910943185e+12,2184,2615975,4024,
2015-08-21,,3919,,,,26690.9375,7.85504172471,1425,,0.00105,4.41525264365e+12,3809,3396674,5088,
2015-08-22,,3579,,,,27550.46875,42.5471718296,1414,,0.00115196162067,4.8283409979e+12,3455,3415807,5271,
2015-08-23,,4190,,,,26255.625,8.0497676729,1570,,0.00105,5.13835107567e+12,4025,3411809,5013,
2015-08-24,,4432,,,,27333.28125,8.8762854198,1436,,0.00105,5.17911888269e+12,4374,3486486,5184,
2015-08-25,,4487,,,,26736.09375,8.25975582511,1580,,0.00105,5.17328767322e+12,4296,3464583,5097,
2015-08-26,,4156,,,,26137.96875,7.44772927856,1527,,0.00105,5.58730409173e+12,4040,3345268,5003,
2015-08-27,,5590,,,,24532.8125,8.67096304289,1591,,0.00105,5.92530986149e+12,5441,3332930,4708,
2015-08-28,,4758,,,,24225.15625,9.92514837051,1531,,0.00105,6.250868352e+12,4652,3214665,4653,
2015-08-29,,4139,,,,22525.0,5.50745152606,1375,,0.00105,6.65764913991e+12,4046,2952536,4329,
2015-08-30,,4572,,,,21453.59375,5.63417374243,1624,,0.00105,6.78090466895e+12,4490,2862531,4155,
2015-08-31,,5196,,,,21293.4375,7.42453381438,1515,,0.00105,7.21376443323e+12,5106,3011745,4122,
2015-09-01,,5153,,,,20339.21875,7.84376985589,1555,,0.00105,7.64149901398e+12,5000,2919171,3938,
2015-09-02,,5195,,,,18391.09375,8.15373533105,1514,,0.00105,8.28395333804e+12,4883,2740989,3577,
2015-09-03,,4777,,,,17380.9375,6.9700256741,1448,,0.00105,8.35459688423e+12,4527,2555486,3383,
2015-09-04,,5642,,,,23081.875,9.73385636147,1450,,0.00105,6.46967008025e+12,4924,3387151,4443,
2015-09-05,,5519,,,,25629.0625,9.1412283236,1486,,0.00105,6.23538621027e+12,5236,3704996,4921,
2015-09-06,,5521,,,,26168.28125,8.05548773452,1587,,0.00105,6.30502587232e+12,5340,3651161,4978,
2015-09-07,,5702,,,,25460.46875,9.25642239587,1632,,0.00105,6.33914109289e+12,5363,3638068,4834,
2015-09-08,,5622,,,,25888.75,10.379926302,1545,,0.00105,6.07700493254e+12,5395,3738463,4923,
2015-09-09,,5604,,,,26431.40625,9.84060106916,1543,,0.00105,6.20206684953e+12,5304,3849882,5035,
2015-09-10,,5341,,,,26444.21875,7.9258071708,1539,,0.00105,6.28958794904e+12,5094,3651888,5003,
2015-09-11,,6460,,,,27238.59375,8.87672815268,1701,,0.00105,6.56178791085e+12,6226,3783308,5141,
2015-09-12,,5596,,,,26402.34375,11.3548331935,1544,,0.00105,6.83263991571e+12,5270,3826914,5026,
2015-09-13,,6057,,,,26171.40625,9.57872567392,1598,,0.00105,7.02205060722e+12,5737,3795663,4971,
2015-09-14,,5572,,,,25588.125,9.9015484194,1622,,0.00105,6.62627331724e+12,5247,3740946,4851,
2015-09-15,,5409,,,,25615.3125,8.42699714528,1486,,0.00105,6.41852330569e+12,5168,3657282,4842,
2015-09-16,,5872,,,,26318.125,15.1466170778,1510,,0.00105,6.17910881456e+12,5679,3660494,4956,
2015-09-17,,5368,,,,25435.625,8.55652379146,1517,,0.00105,6.04042271868e+12,5102,3622311,4808,
2015-09-18,,5802,,,,25894.21875,11.8348210662,1462,,0.00105,5.65272781726e+12,5336,3836279,4889,
2015-09-19,,5205,,,,27187.1875,7.98220437293,1367,,0.00105,5.54829130147e+12,4938,3730754,5078,
2015-09-20,,6402,,,,27982.65625,10.9696454718,1466,,0.00105,6.20228837204e+12,6116,4063431,5305,
2015-09-21,,6305,,,,26651.875,10.1807419409,1521,,0.00105,6.54147596149e+12,5967,3952585,5075,
