date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-22,,2,,,,2,,
2017-08-23,,,,,,,,
2017-08-24,,,,,,,,
2017-08-25,,,,,,,,
2017-08-26,,,,,,,,
2017-08-27,,,,,,,,
2017-08-28,,,,,,,,
2017-08-29,,,,,,,,
2017-08-30,,,,,,,,
2017-08-31,,,,,,,,
2017-09-01,,,,,,,,
2017-09-02,,,,,,,,
2017-09-03,,,,,,,,
2017-09-04,,,,,,,,
2017-09-05,,,,,,,,
2017-09-06,,,,,,,,
2017-09-07,,,,,,,,
2017-09-08,,51,,,,40,,
2017-09-09,,17,,,,17,,
2017-09-10,,53,,,,48,,
2017-09-11,,90,,,,79,,
2017-09-12,,64,,,,64,,
2017-09-13,,18,,,,19,,
2017-09-14,,2,,,,3,,
2017-09-15,,4,,,,5,,
2017-09-16,,10,,,,10,,
2017-09-17,,251,,,,225,,
2017-09-18,,174,,,,159,,
2017-09-19,,95,,,,98,,
2017-09-20,,71,,,,72,,
2017-09-21,,38,,,,40,,
2017-09-22,,10,,,,11,,
2017-09-23,,37,,,,29,,
2017-09-24,,16,,,,17,,
2017-09-25,,38,,,,41,,
2017-09-26,,24,,,,27,,
2017-09-27,,14,,,,18,,
2017-09-28,,15,,,,15,,
2017-09-29,,11,,,,12,,
2017-09-30,,26,,,,31,,
2017-10-01,,9,,,,13,,
2017-10-02,,16,,,,21,,
2017-10-03,,12,,,,9,,
2017-10-04,,9,,,,13,,
2017-10-05,,17,,,,22,,
2017-10-06,,37,,,,33,,
2017-10-07,,26,,,,31,,
2017-10-08,,20,,,,25,,
2017-10-09,,16,,,,20,,
2017-10-10,,13,,,,12,,
2017-10-11,,16,,,,21,,
2017-10-12,,12,,,,15,,
2017-10-13,,12,,,,11,,
2017-10-14,,1,,,,2,,
2017-10-15,,18,,,,9,,
2017-10-16,,12,,,,12,,
2017-10-17,,5,,,,8,,
2017-10-18,,7,,,,8,,
2017-10-19,,33,,,,38,,
2017-10-20,,20,,,,24,,
2017-10-21,,10,,,,13,,
2017-10-22,,8,,,,9,,
2017-10-23,,16,,,,9,,
