date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-06-29,,2,,,,3,,
2017-06-30,,1,,,,2,,
2017-07-01,,,,,,,,
2017-07-02,,,,,,,,
2017-07-03,,,,,,,,
2017-07-04,,,,,,,,
2017-07-05,,,,,,,,
2017-07-06,,,,,,,,
2017-07-07,,,,,,,,
2017-07-08,,496,,,,259,,
2017-07-09,4539318.32281,130,25688602.0,1.22,2843520.0,84,2710.8278,
2017-07-10,2971626.00956,135,35884636.0,1.7,6413810.0,83,1756.61189392,
2017-07-11,2393460.47034,105,44278508.0,2.1,17349300.0,79,1049.979,
2017-07-12,4668189.23537,155,69412888.0,3.29,43670400.0,110,6580.0,
2017-07-13,1166942.75622,116,76986040.0,3.65,8436170.0,67,1700.41902771,
2017-07-14,1183930.53203,76,68606200.0,3.25,13049400.0,56,2453.75,
2017-07-15,2891300.03935,52,54742236.0,2.6,1652160.0,41,391.287,
2017-07-16,1122806.07394,39,50996896.0,2.42,498244.0,28,726.0,
2017-07-17,574693.21613,74,44767028.0,2.12,1740580.0,52,604.009956734,
2017-07-18,1123221.31264,81,72094928.0,3.42,1624240.0,61,342.0,
2017-07-19,1983368.29639,54,70197832.0,3.33,1582240.0,39,673.007429972,
2017-07-20,153691088.888,69,68143680.0,3.23,1406890.0,56,381.15536469,
2017-07-21,835675.627129,57,87194664.0,4.13,962166.0,44,723.725016306,
2017-07-22,919096.200618,59,79420112.0,3.77,640571.0,46,2229.33690831,
2017-07-23,554954.854907,39,85345864.0,4.05,526299.0,39,664.024549059,
2017-07-24,423702.057537,48,87805632.0,4.16,1170890.0,40,985.8784,
2017-07-25,211301417.756,126,93426504.0,4.43,2000850.0,68,693.506229931,
2017-07-26,6108773.1798,105,87151480.0,4.13,688758.0,65,346.92,
2017-07-27,455842.477057,88,92882440.0,4.4,747201.0,69,378.823924512,
2017-07-28,393383.974273,98,86946408.0,4.12,727796.0,55,301.94347,
2017-07-29,1909998.96322,84,74501072.0,3.53,773633.0,58,922.562944103,
2017-07-30,2491081.8322,52,81927952.0,3.88,1298790.0,37,201.958351342,
2017-07-31,2495454.194,79,75797832.0,3.59,688906.0,52,351.056970235,
2017-08-01,331017.3523,42,69606464.0,3.61,1069850.0,38,645.167397033,
2017-08-02,496595.819014,63,74969480.0,3.88,680319.0,49,1163.9612,
2017-08-03,142524.799526,50,69212152.0,3.59,396523.0,31,699.531013301,
2017-08-04,165095.694355,85,74284344.0,3.85,577748.0,47,473.5115,
2017-08-05,700301.815385,108,78515720.0,4.07,885587.0,64,1017.5,
2017-08-06,738504.310214,142,80316288.0,4.16,884380.0,74,648.18425177,
2017-08-07,335296.739582,119,88359352.0,4.58,1179490.0,88,265.64,
2017-08-08,3854994.99239,110,98197424.0,5.09,626820.0,86,765.092667668,
2017-08-09,485164.278778,71,95420216.0,4.94,494339.0,60,497.063959863,
2017-08-10,418011.910793,114,89652656.0,4.64,1699690.0,98,643.106815575,
2017-08-11,5022441.59161,188,110165408.0,5.71,8651990.0,155,1281.09335691,
2017-08-12,2163940.22971,173,145058672.0,7.52,6038650.0,126,752.0,
2017-08-13,1373670.50749,116,176352080.0,9.14,3063580.0,93,600.449087747,
2017-08-14,1765618.21038,126,180512064.0,9.35,2895710.0,103,1201.5522734,
2017-08-15,2287764.01328,87,152943472.0,7.92,1793580.0,68,1250.587776,
2017-08-16,1199069.11913,123,138560896.0,7.18,1803970.0,94,758.936633221,
2017-08-17,2206543.3786,210,182980432.0,9.48,8980110.0,163,625.774880485,
2017-08-18,1387746.22549,171,193617120.0,10.03,4491210.0,126,901.301139771,
2017-08-19,8094213.7144,186,204917728.0,10.62,8207440.0,142,1939.3713,
2017-08-20,1709705.85337,105,193000208.0,10.0,2761560.0,90,435.9431408,
2017-08-21,1129877.129,144,178275520.0,9.24,2593030.0,113,415.7076,
2017-08-22,376243.645968,122,177581744.0,9.2,1520480.0,90,717.508,
2017-08-23,10268955.5434,183,188609776.0,9.77,1220680.0,143,1299.41,
2017-08-24,3233315.43528,139,173997344.0,9.01,1562100.0,91,796.76494982,
2017-08-25,680147.703817,188,194376944.0,10.07,961836.0,128,461.205854035,
2017-08-26,990484.91065,168,185811360.0,9.63,1025560.0,128,454.372995831,
2017-08-27,1316393.3956,154,196114224.0,10.16,1262120.0,109,741.372596094,
2017-08-28,2340135.62181,188,191809776.0,9.94,1806910.0,141,379.152653691,
2017-08-29,328770.19794,180,182711616.0,9.47,2137900.0,138,407.21,
2017-08-30,485791.367146,212,182778288.0,9.47,1099310.0,151,473.5,
2017-08-31,795962.423051,191,182222224.0,9.44,1511690.0,150,471.9056,
2017-09-01,3062026.82298,340,184761696.0,9.57,11796600.0,258,451.065223123,
2017-09-02,1736079.3346,179,255678480.0,13.25,7753150.0,144,293.681348295,
2017-09-03,600227.396238,151,207931040.0,10.77,2574300.0,115,244.175978942,
2017-09-04,1335022.02216,253,213205360.0,11.05,5212850.0,187,442.442,
2017-09-05,2992201.22419,186,190224448.0,9.86,2746360.0,149,417.696564734,
2017-09-06,13483898.3742,200,219290048.0,11.36,3288170.0,151,834.801679031,
