date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-10-10,,5,,,,5,,
2017-10-11,,1,,,,2,,
2017-10-12,,,,,,,,
2017-10-13,,,,,,,,
2017-10-14,,,,,,,,
2017-10-15,,,,,,,,
2017-10-16,,,,,,,,
2017-10-17,,,,,,,,
2017-10-18,,,,,,,,
2017-10-19,,,,,,,,
2017-10-20,,,,,,,,
2017-10-21,,,,,,,,
2017-10-22,,,,,,,,
2017-10-23,,,,,,,,
2017-10-24,,,,,,,,
2017-10-25,,,,,,,,
2017-10-26,,,,,,,,
2017-10-27,,,,,,,,
2017-10-28,,,,,,,,
2017-10-29,,,,,,,,
2017-10-30,,,,,,,,
2017-10-31,,,,,,,,
2017-11-01,,,,,,,,
2017-11-02,,,,,,,,
2017-11-03,,,,,,,,
2017-11-04,,,,,,,,
2017-11-05,,,,,,,,
2017-11-06,,,,,,,,
2017-11-07,,,,,,,,
2017-11-08,,,,,,,,
2017-11-09,,,,,,,,
2017-11-10,,,,,,,,
2017-11-11,,,,,,,,
2017-11-12,,,,,,,,
2017-11-13,,,,,,,,
2017-11-14,,,,,,,,
2017-11-15,,,,,,,,
2017-11-16,,,,,,,,
2017-11-17,,,,,,,,
2017-11-18,,,,,,,,
2017-11-19,,,,,,,,
2017-11-20,,,,,,,,
2017-11-21,,,0.0,0.482456,9608310.0,,,
2017-11-22,16994145.6396,224,0.0,0.504107,2592760.0,206,1260.2675,
2017-11-23,15557147.5453,809,0.0,0.462955,3392260.0,758,2314.775,
2017-11-24,31126016.411,785,0.0,0.497269,2903120.0,743,1670.82384,
2017-11-25,7468030.25113,611,0.0,0.630772,5078390.0,624,3066.0565376,
2017-11-26,5118630.93935,573,0.0,0.719136,3198190.0,559,2392.92504,
2017-11-27,34808245.7119,1425,0.0,0.743308,22245000.0,1193,2675.9088,
2017-11-28,24805381.9676,1224,0.0,1.17,42607800.0,1030,3581.955,
2017-11-29,19406639.9277,1183,0.0,1.37,16962700.0,1035,4110.0,
2017-11-30,329577978.833,2283,0.0,1.23,21565300.0,1622,2829.0,
2017-12-01,40749687.7868,2317,0.0,1.27,25568500.0,1519,2540.0,
2017-12-02,14514831.204,1225,0.0,1.17,10667500.0,793,1669.921578,
2017-12-03,3515073.47251,688,0.0,1.07,11576700.0,521,1263.0708,
2017-12-04,27592536.0902,1433,119992608.0,0.913694,23245800.0,863,2283.321306,
2017-12-05,3688617.24764,507,346993952.0,0.991411,13881100.0,416,1580.309134,
2017-12-06,7269506.82436,915,342128672.0,0.97751,14377300.0,584,1416.41199,
2017-12-07,27423402.6887,750,318430528.0,0.909802,12158600.0,536,1792.30994,
2017-12-08,14412563.4584,749,271843328.0,0.776695,12751700.0,583,1344.459045,
2017-12-09,6276820.17927,584,273862624.0,0.782465,10760400.0,498,1243.10713137,
2017-12-10,3440629.70748,353,265859008.0,0.759597,4462490.0,346,1538.183925,
2017-12-11,12269726.8436,1048,242755856.0,0.693588,18366400.0,843,1626.46386,
2017-12-12,9566840.11039,830,215652512.0,0.61615,12663300.0,648,1845.81364233,
2017-12-13,9205527.81876,784,223094144.0,0.637412,16769400.0,620,2113.78886146,
2017-12-14,6692903.60994,606,244435328.0,0.698387,10341200.0,451,2094.8118065,
2017-12-15,2854809.64748,497,259866880.0,0.742477,10861900.0,375,1707.6971,
2017-12-16,6701046.06884,770,247903440.0,0.708296,43238500.0,560,1829.8651113,
2017-12-17,4955463.83999,564,418389920.0,1.2,21186400.0,457,2640.0,
2017-12-18,28461374.6996,788,344121888.0,0.983205,20144900.0,594,2910.7784025,
2017-12-19,6667769.34589,844,377271904.0,1.08,19641000.0,621,2200.94769078,
2017-12-20,3175772.74504,477,340351392.0,0.972433,13937000.0,385,1992.40824937,
2017-12-21,10658528.394,617,334252992.0,0.955009,16916700.0,486,2805.36758777,
2017-12-22,4624370.01545,533,335128832.0,0.957511,60815500.0,412,2051.946073,
2017-12-23,2725125.36501,448,282695904.0,0.807703,20796800.0,423,2405.7433855,
2017-12-24,2199781.91957,280,311208864.0,0.889168,32082500.0,255,1580.47161675,
2017-12-25,1467018.28584,322,304313824.0,0.869468,14419500.0,291,1040.10446723,
2017-12-26,1725430.13111,322,307920320.0,0.879772,6857160.0,292,1263.28039483,
2017-12-27,3011015.27423,405,304733056.0,0.870666,10953900.0,293,1851.07429757,
2017-12-28,2937026.5038,394,338174496.0,0.966213,7997100.0,315,2260.93842,
2017-12-29,1756937.32048,293,309323072.0,0.88378,7115610.0,279,1587.01671105,
2017-12-30,1932718.46791,362,311257280.0,0.889306,10973500.0,305,1778.612,
2017-12-31,4756372.89351,232,292461728.0,0.835605,8381010.0,183,1026.97401999,
2018-01-01,2066439.95988,224,305459776.0,0.872742,14620300.0,213,871.869258,
2018-01-02,4178459.2333,503,311522112.0,0.890063,24755600.0,409,2433.23393596,
2018-01-03,5171493.01589,512,344811392.0,0.985175,24439100.0,433,2955.0324125,
2018-01-04,5118344.10005,417,375338144.0,1.07,28168300.0,366,1605.0,
2018-01-05,8056167.41003,744,399020896.0,1.14,107352000.0,698,1401.362385,
2018-01-06,6630299.60993,673,561499456.0,1.6,63903000.0,582,1600.0,
2018-01-07,12108234.9779,619,731095936.0,2.09,69163104.0,571,1508.63483232,
2018-01-08,16026193.1054,750,733363520.0,2.1,49635100.0,600,2942.415,
2018-01-09,9730280.77097,585,630791168.0,1.8,34922500.0,528,1735.2,
2018-01-10,9920442.52588,630,643361472.0,1.84,42796900.0,496,2285.70882212,
2018-01-11,6337036.7767,569,652870720.0,1.87,34817000.0,500,1715.216547,
2018-01-12,8311814.28181,684,629483456.0,1.8,32804300.0,581,1860.3,
2018-01-13,8591391.08796,781,661885952.0,1.89,52097300.0,643,1888.11,
2018-01-14,9808144.99447,704,859974400.0,2.46,46173400.0,622,1797.70236228,
2018-01-15,11967166.1345,810,845746304.0,2.42,35886500.0,681,2224.57700432,
2018-01-16,6361775.35961,651,789427968.0,2.26,44388000.0,589,1977.9047547,
2018-01-17,12802607.2013,889,578522688.0,1.65,32290000.0,703,1974.39,
2018-01-18,10459024.5948,647,605634048.0,1.73,24578100.0,564,1794.9256198,
2018-01-19,7844381.45605,627,590060672.0,1.69,18786900.0,512,1859.0,
2018-01-20,6442584.41873,412,578639744.0,1.65,8795390.0,389,1250.202195,
2018-01-21,13652540.9838,412,649902144.0,1.86,14085400.0,379,1948.560459,
2018-01-22,11100009.4963,480,581632640.0,1.66,20758000.0,456,3101.0970118,
2018-01-23,7518215.01893,606,517683840.0,1.48,25107600.0,500,1553.0636558,
2018-01-24,6185254.86213,579,487220640.0,1.39,19406500.0,471,1399.84230922,
2018-01-25,5566455.26819,483,527757568.0,1.51,15879300.0,397,1510.0,
2018-01-26,7850834.71482,430,504486944.0,1.44,21466900.0,394,1206.856854,
2018-01-27,3964204.60173,400,488949664.0,1.4,13827500.0,418,1400.03325,
2018-01-28,2475013.6419,462,527463840.0,1.51,17907900.0,397,1135.16410961,
2018-01-29,4063256.81774,596,562217088.0,1.61,15089500.0,565,948.744837075,
2018-01-30,11934391.5192,582,508122784.0,1.45,23668200.0,546,1486.44070255,
2018-01-31,4350146.01512,521,431843776.0,1.23,16543700.0,489,1230.0,
2018-02-01,3771157.70384,465,421546880.0,1.2,16254600.0,421,1197.22356,
2018-02-02,4100199.61404,536,352551328.0,1.01,15983000.0,491,1683.52665828,
2018-02-03,2510100.7287,221,327466720.0,0.935619,9776650.0,233,846.735195,
2018-02-04,1610071.43168,236,368082912.0,1.05,8638730.0,243,830.40342525,
2018-02-05,2356771.75251,495,298303168.0,0.852295,9370440.0,449,1704.59,
2018-02-06,3397301.11486,510,233850896.0,0.668145,12357500.0,430,2176.25144162,
2018-02-07,1740713.24705,466,277786304.0,0.793675,8706400.0,420,1749.83913037,
2018-02-08,62994281.3602,273,272964928.0,0.7799,4804810.0,267,1131.27045273,
2018-02-09,781702.113507,251,292383872.0,0.835382,3464780.0,268,835.382,
2018-02-10,1652070.51373,367,334462816.0,0.955608,5798290.0,350,794.588052,
2018-02-11,641235.110454,276,303739936.0,0.867828,3854840.0,273,447.050529393,
2018-02-12,1096126.08423,313,294896576.0,0.842562,4594740.0,289,352.179069578,
2018-02-13,3852460.85576,212,313968000.0,0.897051,3634480.0,206,827.131615676,
2018-02-14,1800564.32886,249,298159168.0,0.851883,5146450.0,241,928.271458503,
2018-02-15,1907019.26029,206,330236416.0,0.943533,5403890.0,205,1430.99244795,
2018-02-16,441119.643982,179,332518240.0,0.950052,4039720.0,189,572.881356,
2018-02-17,529029.373468,139,338757824.0,0.967879,5323920.0,153,601.310855858,
2018-02-18,763760.531984,129,373062656.0,1.07,5162380.0,144,1084.081093,
2018-02-19,1977821.72356,227,340231104.0,0.972089,5598330.0,212,1871.11203947,
2018-02-20,4394683.76907,297,356270784.0,1.02,5950770.0,284,2142.0,
2018-02-21,1851526.15605,200,335318624.0,0.958053,5188840.0,208,1025.04864033,
2018-02-22,1421456.71188,205,302408960.0,0.864026,4163580.0,216,1290.41576154,
2018-02-23,939074.16243,176,283476992.0,0.809934,4175430.0,178,1620.2324703,
2018-02-24,512241.058154,146,293971264.0,0.839918,2633470.0,177,844.957508,
2018-02-25,506780.293828,152,285584352.0,0.815955,2688350.0,172,487.156018897,
2018-02-26,1204310.60042,220,282833952.0,0.808097,2876830.0,205,326.138811643,
2018-02-27,1731204.55155,222,294178784.0,0.840511,3040270.0,210,303.633884316,
