date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),activeAddresses,medianTxValue(USD)
2017-08-28,,1,,,,2,,
2017-08-29,,2,,,,3,,
2017-08-30,,2,,,,3,,
2017-08-31,,3,,,,4,,
2017-09-01,,26,,,,17,,
2017-09-02,,15,,,,15,,
2017-09-03,,423,,,,316,,
2017-09-04,,1360,,,,1011,,
2017-09-05,,1397,,,,1043,,
2017-09-06,,1540,,,,1336,,
2017-09-07,,686,,,,603,,
2017-09-08,,526,,,,462,,
2017-09-09,,468,,,,441,,
2017-09-10,,531,,,,550,,
2017-09-11,,642,,,,803,,
2017-09-12,,329,,,,365,,
2017-09-13,1904725.61491,384,0.0,0.002051,48512.0,391,259.985914713,
2017-09-14,2678158.65899,334,0.0,0.002006,58770.0,283,216.149509,
2017-09-15,337296.881709,169,0.0,0.001419,26475.0,176,290.604105,
2017-09-16,249739.794729,204,0.0,0.001815,54535.0,151,180.77399985,
2017-09-17,269382.073828,258,0.0,0.001836,124998.0,187,305.370864,
2017-09-18,1968324.24067,463,0.0,0.003324,159158.0,383,339.879,
2017-09-19,1784011.48431,377,0.0,0.003273,158416.0,303,327.3,
2017-09-20,472702.241567,310,0.0,0.002306,83399.0,264,255.850591618,
2017-09-21,667529.382114,363,0.0,0.002638,99853.0,252,251.722410306,
2017-09-22,212418.41591,1801,0.0,0.002079,38829.0,1776,0.000273419685,
2017-09-23,19588517.8152,5616,0.0,0.001934,42314.0,4172,0.000789330189,
2017-09-24,35434124.4335,4857,0.0,0.002346,50023.0,4846,0.000176029764,
2017-09-25,574814.587035,7873,0.0,0.002251,106284.0,7860,0.000160145144,
2017-09-26,527724.376864,8941,0.0,0.001777,61508.0,8948,0.000131137269,
2017-09-27,31686727.8899,9973,0.0,0.001736,35671.0,9973,0.000130359712,
2017-09-28,3108313.20413,8415,0.0,0.002563,69532.0,8419,0.000184295078,
2017-09-29,581696.734301,8322,29208906.0,0.002901,58162.0,8326,0.000196142412,
2017-09-30,144505.403452,3185,19965952.0,0.001983,53734.0,3209,0.00016772214,
2017-10-01,249180286.374,6692,22765850.0,0.002261,72807.0,6684,0.000181268892,
2017-10-02,1824251.6786,7092,18600236.0,0.001848,887622.0,6955,0.000182393904,
2017-10-03,21386637.4715,7973,109938352.0,0.002748,822107.0,7935,0.000265500768,
2017-10-04,1771031.59808,5840,98764592.0,0.002469,1072200.0,5742,0.0002355191445,
2017-10-05,2420506.34455,5926,130769664.0,0.003269,704167.0,5786,0.000298286443,
2017-10-06,2142753.71013,3777,132825952.0,0.003321,478330.0,3723,0.000316999413,
2017-10-07,425213.888743,5353,119797856.0,0.002995,352974.0,5316,0.00025964254,
2017-10-08,368298.756382,6946,167047552.0,0.002565,239490.0,6904,0.000202293855,
2017-10-09,1261028.89078,7631,167131248.0,0.002567,350960.0,7605,0.000192999895,
2017-10-10,387565.920755,7637,142372192.0,0.002186,215705.0,7658,0.000151378314,
2017-10-11,277834.327176,8473,149681744.0,0.002289,289055.0,8473,0.000167151936,
2017-10-12,218459.613866,7662,161574880.0,0.002471,136756.0,7664,0.0001804089455,
2017-10-13,336959.98294,7579,153327312.0,0.002345,184709.0,7604,0.000176060255,
2017-10-14,237202.493326,5022,138238624.0,0.002114,121404.0,5036,0.000162379511,
2017-10-15,133419.604381,9283,155487360.0,0.002378,116033.0,9310,0.00014992101,
2017-10-16,229547.758552,31481,149525840.0,0.002287,152645.0,31487,0.000143712793,
2017-10-17,271679.300787,39390,140970256.0,0.002156,116008.0,39398,0.00014023702,
2017-10-18,239166.581743,28689,127058872.0,0.001943,189768.0,28705,0.000127723105,
2017-10-19,418084.477798,18233,136914992.0,0.002094,325575.0,18245,0.000140279154,
2017-10-20,403740.570967,20495,125322464.0,0.001916,211546.0,20468,0.00012442504,
2017-10-21,236501.76895,9113,127767624.0,0.001953,243113.0,9094,0.000140992929,
2017-10-22,347468.317856,299,150861040.0,0.002306,244796.0,252,206.483694772,
2017-10-23,459595.85685,252,168489056.0,0.002575,221618.0,226,510.443351262,
2017-10-24,341743.874868,318,158627328.0,0.002425,297411.0,223,242.5,
2017-10-25,539296.409929,507,173757280.0,0.002656,715742.0,370,272.897240719,
2017-10-26,824045.855695,385,198188336.0,0.003029,794428.0,295,406.998035931,
2017-10-27,922979.797284,386,185820288.0,0.00284,1589480.0,277,460.603342896,
2017-10-28,536421.625351,475,200154320.0,0.003059,1031720.0,371,310.763053711,
2017-10-29,3542119.28783,666,195500560.0,0.002988,1605430.0,470,593.930052039,
2017-10-30,3619221.60942,4830,193056544.0,0.002951,1347640.0,4466,70.2338,
2017-10-31,3196786.94368,755,180573696.0,0.00276,1805800.0,783,552.0,
2017-11-01,519557.0761,4252,182329936.0,0.002782,1398750.0,4264,0.000289501875,
2017-11-02,497358.668192,8710,165369088.0,0.002524,1429590.0,8697,0.000260734248,
2017-11-03,2353654.26969,27600,150970240.0,0.002304,1588360.0,27591,0.000231683328,
2017-11-04,236375.274605,54906,145995008.0,0.002228,1696040.0,54933,0.00022413123,
2017-11-05,387475.411376,68169,139296256.0,0.002126,1762660.0,68167,0.00021470474,
2017-11-06,1515750.44624,52329,145044272.0,0.002213,1719120.0,52316,0.000222722959,
2017-11-07,218339.044246,50551,140553568.0,0.002145,1497470.0,50509,0.00021563685,
2017-11-08,974027.130244,35564,142393984.0,0.002173,2839470.0,35532,0.000219329582,
2017-11-09,256264.36457,272,150972304.0,0.002304,2924350.0,225,460.8,
2017-11-10,350619.051296,282,153014592.0,0.002335,2193620.0,185,467.0,
2017-11-11,376579.359613,207,132779728.0,0.002026,1748460.0,172,388.474168991,
2017-11-12,273775.533111,205,131435560.0,0.002006,2174370.0,192,359.074,
2017-11-13,497715.825162,230,117649776.0,0.001795,2889150.0,168,359.0,
2017-11-14,1053849.829,392,138523056.0,0.002111,4040400.0,314,487.231881867,
2017-11-15,883421.394897,333,160377808.0,0.002444,5008060.0,273,488.8,
2017-11-16,1165324.99733,392,152449152.0,0.002323,5082450.0,237,882.965621375,
2017-11-17,677109.825491,260,143495440.0,0.002187,5720510.0,211,591.525678868,
2017-11-18,203538.661431,205,129913032.0,0.00198,5709820.0,173,395.30898,
2017-11-19,391118.472223,202,132556496.0,0.00202,4289470.0,175,200.99,
2017-11-20,295643.991484,246,130743832.0,0.001993,3909200.0,207,346.556791,
2017-11-21,348831.572783,264,140948912.0,0.002148,3417520.0,222,349.025652209,
2017-11-22,986297.059739,362,140785072.0,0.002146,4119730.0,322,867.138512,
2017-11-23,2098765.53882,608,151661360.0,0.002311,4402340.0,389,1155.5,
2017-11-24,2293004.07497,406,138156496.0,0.002106,4204470.0,271,1413.481914,
2017-11-25,406750.069655,243,133009376.0,0.002027,4704770.0,219,607.0865,
2017-11-26,582222.909537,271,134479424.0,0.00205,6245890.0,224,903.691182981,
2017-11-27,749802.590141,346,141292704.0,0.002151,6405580.0,250,692.982985932,
2017-11-28,2013820.13164,487,135550656.0,0.002062,6065010.0,348,900.884014168,
2017-11-29,2078074.38898,633,151888352.0,0.00231,7852660.0,446,1848.0,
2017-11-30,959837.179972,324,137426736.0,0.00209,4155450.0,244,718.473930372,
2017-12-01,3211252.26889,384,147342688.0,0.002241,6294070.0,263,592.444745227,
2017-12-02,978834.483128,268,138747568.0,0.00211,5760180.0,223,459.19533058,
2017-12-03,3304353.81235,378,136754880.0,0.00208,7261200.0,356,2080.0,
2017-12-04,6107162.11741,443,139621312.0,0.002124,10447300.0,332,2124.0,
2017-12-05,3524449.03553,240,140611424.0,0.002139,8749920.0,233,1606.89609273,
2017-12-06,2452155.46261,386,135963728.0,0.002068,33314700.0,281,838.98366046,
2017-12-07,14384971.5463,1961,206040432.0,0.003134,44215300.0,1464,1167.596772,
2017-12-08,8765605.91163,878,283434240.0,0.004311,21605600.0,617,1617.81458568,
2017-12-09,20698012.6025,504,291991200.0,0.004441,17520500.0,398,905.399642161,
2017-12-10,10165387.8916,1407,292722880.0,0.004452,18145200.0,1235,1802.1508927,
2017-12-11,5477544.94748,845,291634624.0,0.004436,20137200.0,609,869.456,
2017-12-12,16193809.3388,1380,340377952.0,0.005177,48699100.0,912,1148.39686473,
2017-12-13,37664289.2069,2407,500593312.0,0.007614,174319008.0,1570,1160.91397266,
2017-12-14,171988813.774,4226,1081208576.0,0.016445,192816992.0,2834,1133.27003027,
2017-12-15,45565123.788,3302,1145313280.0,0.01742,139710000.0,2231,970.02328449,
2017-12-16,77902889.8751,4297,1210092032.0,0.018405,336496000.0,2911,756.07946182,
2017-12-17,187080793.498,4980,2476707328.0,0.03767,338444992.0,3421,749.633,
2017-12-18,394247501.943,5807,2391407872.0,0.036372,369401984.0,4140,1454.88,
2017-12-19,1646996671.51,5220,2921976320.0,0.044442,235095008.0,3533,824.748578578,
2017-12-20,95009467.1715,5221,3080457216.0,0.046852,317193984.0,3066,1977.1544,
2017-12-21,480985524.126,8877,3285183232.0,0.049966,460308000.0,5001,1710.86706875,
2017-12-22,239434489.895,6644,3002173440.0,0.045662,494380000.0,4044,1523.63788087,
2017-12-23,173043262.355,5346,2649670656.0,0.0403,503996992.0,3763,773.24389805,
2017-12-24,132175996.77,4439,3384262656.0,0.051473,230931008.0,3070,869.8937,
2017-12-25,78978729.9411,4281,2413365504.0,0.036706,189610000.0,2684,913.9794,
2017-12-26,65408472.2218,4683,2350360064.0,0.035748,263744992.0,3135,759.878763107,
2017-12-27,66590877.5818,4418,2487249664.0,0.03783,173156000.0,3190,604.536772905,
2017-12-28,37383970.2533,5430,2414397696.0,0.036722,261940992.0,3845,625.865513119,
2017-12-29,61975833.0404,6252,2761907456.0,0.042007,246896992.0,4570,634.921346653,
2017-12-30,47042433.6369,5736,2390418176.0,0.036357,256698000.0,4187,550.968084516,
2017-12-31,76876460.5721,6417,2375387136.0,0.036129,375152000.0,3965,1018.8378,
2018-01-01,210289834.533,7300,2937739776.0,0.044682,516798016.0,4382,1432.85237988,
2018-01-02,462993004.502,14867,3423532032.0,0.05207,1604039936.0,9703,992.39286154,
2018-01-03,270185869.78,15326,5170987520.0,0.078648,1136850048.0,10785,778.35349878,
2018-01-04,432093825.667,23752,6240822272.0,0.09492,4089410048.0,16952,689.4338598,
2018-01-05,2996227664.47,18996,13779454976.0,0.209579,3864399872.0,15513,848.79495,
2018-01-06,1085971139.55,15482,14760395776.0,0.224499,2437349888.0,14140,1182.19970007,
2018-01-07,602648081.107,14413,11418986496.0,0.173678,1750349952.0,12272,817.72916391,
2018-01-08,292734797.82,16735,13491206144.0,0.205195,1532320000.0,14092,1014.689275,
2018-01-09,164783368.545,15427,10136077312.0,0.154165,1262109952.0,13305,845.846029824,
2018-01-10,176382324.562,13971,8351343104.0,0.12702,1729920000.0,11723,1042.8342,
2018-01-11,247304955.663,14625,8601606144.0,0.130827,1074579968.0,11873,1295.1873,
2018-01-12,213047869.31,12132,7219279360.0,0.109802,679499008.0,9040,1331.61178658,
2018-01-13,339390189.438,11903,7146438656.0,0.108694,819091008.0,8117,2070.50461481,
2018-01-14,144632551.713,9536,6748004352.0,0.102634,714278976.0,7676,1442.62070887,
2018-01-15,191316470.615,9831,5581339136.0,0.08489,1013430016.0,8350,1573.77571,
2018-01-16,147433207.037,7714,4999799808.0,0.076045,695308992.0,6822,1084.10679749,
2018-01-17,99962750.5109,7948,3537013248.0,0.053796,1326569984.0,6806,727.951053461,
2018-01-18,102433946.106,9359,5025294336.0,0.076432,1392329984.0,7701,982.074768,
2018-01-19,193951110.864,6709,5418206720.0,0.082409,706521984.0,5590,1201.193584,
2018-01-20,46421517.3155,5077,5335997440.0,0.081158,626438976.0,4390,802.9975415,
2018-01-21,132055599.463,4563,5579930112.0,0.084868,561259008.0,3840,937.7914,
2018-01-22,57574687.7422,5018,4730395648.0,0.071947,623766976.0,4409,653.28523523,
2018-01-23,26616641.1094,3791,4681943040.0,0.07121,409592000.0,3438,467.297103279,
2018-01-24,42372494.6304,5946,4510088704.0,0.068596,505468992.0,4491,970.447470542,
2018-01-25,40803227.8029,4412,4684674560.0,0.071252,362497984.0,3342,834.900048258,
2018-01-26,40330670.8882,4616,4510313472.0,0.0686,381401984.0,3765,686.0,
2018-01-27,25691681.9543,4272,4371905024.0,0.066495,282556992.0,3425,654.377295,
2018-01-28,24565317.6401,4301,4531100160.0,0.068916,276320992.0,3523,682.2684,
2018-01-29,81947660.9257,6817,4301995520.0,0.065431,256876000.0,5399,1210.86258158,
2018-01-30,68794702.6671,5986,4212155648.0,0.064065,267126000.0,5118,1268.46922196,
2018-01-31,57333031.4364,3958,3547644672.0,0.053958,251080992.0,3246,769.151352519,
2018-02-01,111853622.572,3671,3599931136.0,0.054753,288656000.0,3174,657.036,
2018-02-02,96938628.5185,4134,3027200512.0,0.046042,363928992.0,3484,666.164126669,
2018-02-03,19905006.3344,3462,2697963776.0,0.041035,241928992.0,2880,417.678324254,
2018-02-04,13437330.9008,2609,2927417600.0,0.044525,169960992.0,2249,477.75325,
2018-02-05,14095307.2676,3513,2484621056.0,0.03779,167296992.0,3089,426.786098689,
2018-02-06,31733719.2959,4287,1996603392.0,0.030367,271110016.0,3304,426.565249,
2018-02-07,16157226.9354,3144,2382381312.0,0.036235,204200000.0,2391,453.338947565,
2018-02-08,3686663.16699,985,2147853312.0,0.032668,193436992.0,790,351.475012,
2018-02-09,21486581.3583,3645,2418563584.0,0.036785,176363008.0,2632,735.838745957,
2018-02-10,22227088.9054,5061,3118048512.0,0.047424,470408992.0,4021,494.947244858,
2018-02-11,18578948.9332,3389,3192980224.0,0.048564,273583008.0,2548,557.830366574,
2018-02-12,18528168.4476,3854,2801093632.0,0.042603,219120000.0,3266,417.381591,
2018-02-13,10172337.8333,2398,3031195648.0,0.046103,178960992.0,2035,441.750096529,
2018-02-14,42013987.3826,2326,2846575616.0,0.043295,186660000.0,1970,417.287187333,
2018-02-15,52705001.3458,2263,3019312896.0,0.045922,178912992.0,1885,459.22,
2018-02-16,37769838.2113,2949,3056550144.0,0.046489,310512992.0,2105,696.521256544,
2018-02-17,19285314.0737,2899,3429074176.0,0.052155,231988000.0,2423,434.55546,
2018-02-18,11606778.0659,2164,3611848960.0,0.054935,195043008.0,1890,488.238304718,
2018-02-19,9637374.47688,2248,3258172416.0,0.049555,178480992.0,2059,390.91842828,
2018-02-20,12028140.817,2430,3388441088.0,0.051537,198212992.0,2203,480.990862958,
2018-02-21,36871343.1519,1952,3084186880.0,0.046909,179052992.0,1829,395.362847937,
2018-02-22,634217292.276,2071,2923229952.0,0.044461,162732992.0,1872,436.16241,
2018-02-23,10780941.3391,1745,2647985408.0,0.040275,159880992.0,1570,347.345748608,
2018-02-24,14631526.1235,1863,2817707264.0,0.042856,194792992.0,1692,372.722574752,
2018-02-25,7482593.22758,1623,2683923456.0,0.040821,182260000.0,1517,294.881543745,
2018-02-26,98880089.2336,2003,2623311104.0,0.039899,189976000.0,1792,369.896369018,
2018-02-27,13683966.5458,2014,2747729920.0,0.041792,219795008.0,1820,326.2146208,
2018-02-28,11010021.8999,2285,2809828608.0,0.042736,298758016.0,1939,435.958242554,
2018-03-01,58227978.4628,3213,2860964096.0,0.043514,318231008.0,2366,802.500846208,
2018-03-02,329903431.959,21036,3201930240.0,0.0487,824566016.0,11953,1739.43192316,
2018-03-03,157522797.773,11167,3453408512.0,0.052525,399204992.0,7816,1055.50741835,
2018-03-04,44841490.4218,4212,3207794688.0,0.048789,314648992.0,2704,810.769622908,
2018-03-05,42447491.8952,5694,3139803904.0,0.047755,284713984.0,3810,672.900550452,
2018-03-06,36786823.641,3851,3073303040.0,0.046744,262251008.0,2490,790.331135507,
2018-03-07,30961718.0876,4680,2889259520.0,0.043944,290193984.0,2842,947.850108,
2018-03-08,31402771.7079,7252,2530482688.0,0.038488,236262000.0,4299,411.674421888,
2018-03-09,29873799.6543,4478,2390829312.0,0.036363,295228992.0,2732,788.752822039,
2018-03-10,11191740.3174,3216,2428788992.0,0.036941,253447008.0,2211,407.015938,
2018-03-11,14437752.5823,2897,2284820224.0,0.034751,266342000.0,2037,477.745874412,
2018-03-12,41592900.2197,3557,2535330304.0,0.038561,228564992.0,2347,578.415,
2018-03-13,23874565.3527,3414,2364857088.0,0.035968,200526000.0,2288,559.90302064,
2018-03-14,136205823.529,11422,2347245056.0,0.035701,197406000.0,9188,713.623986657,
2018-03-15,36919552.8231,5938,2041287296.0,0.031047,169547008.0,3440,838.2878921,
2018-03-16,40537897.0559,7714,1975652992.0,0.030049,149356000.0,4212,695.634975019,
2018-03-17,19670694.3881,4031,1983223936.0,0.030164,116472000.0,2463,668.58506,
2018-03-18,18748924.2184,3651,1859722496.0,0.028285,127381000.0,2345,750.1182,
2018-03-19,36337063.2935,6054,1904740608.0,0.02897,183591008.0,3453,726.467977964,
2018-03-20,23699311.9918,4638,2151821824.0,0.032728,250396992.0,2841,537.879461095,
2018-03-21,159941331.719,6968,2504022784.0,0.038085,232926000.0,4095,1137.3973027,
2018-03-22,24513959.7141,4156,2443139584.0,0.037159,227472000.0,2946,631.947512314,
2018-03-23,29721535.65,4738,2488765696.0,0.037853,230134000.0,3308,700.169596388,
2018-03-24,59987408.2874,11174,2742828032.0,0.041717,706931008.0,7408,1146.26587265,
2018-03-25,78291160.6004,7934,3249154560.0,0.049418,320430016.0,4711,1451.77979061,
2018-03-26,57841882.2179,6581,2981061632.0,0.045341,327374016.0,3578,1742.51892354,
2018-03-27,74806073.255,6171,2917465344.0,0.044373,274910016.0,4350,379.138309431,
